what,kind,bundleId,bundleVersion,description,time
java.runtime.version,sysinfo,,,"1.6.0_21-b06",1327413601895
java.specification.name,sysinfo,,,"Java Platform API Specification",1327413601895
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1327413601895
java.specification.version,sysinfo,,,"1.6",1327413601895
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1327413601895
java.version,sysinfo,,,"1.6.0_21",1327413601895
java.vm.info,sysinfo,,,"mixed mode",1327413601895
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1327413601895
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1327413601895
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1327413601895
java.vm.specification.version,sysinfo,,,"1.0",1327413601895
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1327413601895
java.vm.version,sysinfo,,,"17.0-b16",1327413601895
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1327413602020
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.monitor.ui",1327413602109
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1327413602353
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1327413602354
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1327413602443
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1327413602874
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1327413610541
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1327413614026
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1327413614031
closed,view,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.internal.introview",1327413614094
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1327413617563
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1327413629391
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1327413633688
started,bundle,org.eclipse.debug.core,3.5.0.v20090526-1600,"org.eclipse.debug.core",1327413641228
started,bundle,org.eclipse.jdt.launching,3.5.0.v20090527,"org.eclipse.jdt.launching",1327413641252
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1327413649964
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1327413650412
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1327413783666
